date,weekday,messages,authors,chars,night_msgs,night_share,replies,media,voice,photos,stickers,reactions,peak_10min,pain_hits,rage_hits,joy_hits,gamble_hits,top_authors
2026-07-01,ср,377,23,12393,102,0.27,192,59,0,16,12,23,49,6,28,12741,20,Gojō Satoru(74); Тёмный Жрец(59); Ded Jawerssa(56); Владимир(40); Ігор(38)
2026-07-02,чт,344,29,10181,63,0.18,136,26,0,12,7,21,52,11,23,10442,10,Ded Jawerssa(100); Ігор(60); Василий(38); ᅠ ᅠ❤️‍🩹(33); Dank1n(27)
2026-07-03,пт,361,23,9027,2,0.01,189,47,23,9,3,38,33,8,20,9348,2,Ded Jawerssa(73); Ігор(50); Kabir_Labib_LTG(49); Михалец(31); Альт 🇷🇸(29)
2026-07-04,сб,949,34,25559,295,0.31,441,51,0,23,4,56,95,10,76,26322,4,Ded Jawerssa(213); Ігор(180); Роман (Chiki_briki)(79); Kabir_Labib_LTG(74); Капитан джек воробей 🔴⚪(55)
2026-07-05,вс,2541,47,67686,617,0.24,1239,122,8,48,35,257,99,43,335,69763,3,Ded Jawerssa(501); Ігор(467); Kabir_Labib_LTG(325); 𝐊𝐑𝐎𝐕𝐀𝐖𝐘 𝐈𝐒𝐏𝐎𝐋𝐈𝐍(174); Танечка🦢(135)
2026-07-06,пн,924,35,24518,182,0.2,477,130,0,40,59,52,83,11,75,25366,18,Kabir_Labib_LTG(234); Ded Jawerssa(159); Михалец(121); Gojō Satoru(115); Ігор(50)
2026-07-07,вт,1014,29,27166,527,0.52,493,74,15,25,25,54,104,17,77,28104,5,Ded Jawerssa(411); Kabir_Labib_LTG(151); Ігор(121); Gojō Satoru(66); Анастасия(38)
2026-07-08,ср,1087,36,28081,63,0.06,734,86,14,12,38,149,72,14,54,29050,1,Ded Jawerssa(222); Волчица(193); OweniXX(181); Kabir_Labib_LTG(91); Ігор(81)
2026-07-09,чт,150,11,3525,78,0.52,68,13,4,4,1,6,35,4,18,3665,6,Ded Jawerssa(50); Ігор(36); ᅠ ᅠ❤️‍🩹(14); Капитан джек воробей 🔴⚪(14); Kabir_Labib_LTG(13)
2026-07-10,пт,442,21,10532,51,0.12,271,26,0,2,13,56,73,11,23,10898,2,Ded Jawerssa(108); Ігор(79); Волчица(53); Kabir_Labib_LTG(46); Капитан джек воробей 🔴⚪(35)
2026-07-11,сб,1248,33,34852,679,0.54,756,80,22,21,16,97,90,22,80,36002,17,Ded Jawerssa(372); Kabir_Labib_LTG(216); Ігор(170); Капитан джек воробей 🔴⚪(156); Волчица(95)
2026-07-12,вс,2123,32,63733,391,0.18,1396,140,27,25,67,214,80,49,238,65685,14,Ded Jawerssa(560); Kabir_Labib_LTG(437); Ігор(322); Волчица(289); Gojō Satoru(84)
2026-07-13,пн,664,24,19002,16,0.02,415,76,3,28,26,144,81,14,31,19609,2,Kabir_Labib_LTG(162); Волчица(134); Олег(98); Ded Jawerssa(65); Крупин(53)
2026-07-14,вт,80,17,2106,25,0.31,37,24,0,4,13,8,11,2,4,2171,12,Капитан джек воробей 🔴⚪(11); Ded Jawerssa(11); Ігор(11); Kabir_Labib_LTG(10); Крупин(9)
2026-07-15,ср,896,31,21520,556,0.62,538,123,4,23,76,81,84,9,57,22361,18,Kabir_Labib_LTG(173); Дмитрий(158); Ded Jawerssa(99); Волчица(79); Крупин(73)
2026-07-16,чт,636,28,23058,414,0.65,295,78,0,17,40,31,51,14,39,23585,17,Капитан джек воробей 🔴⚪(196); Ded Jawerssa(153); Дмитрий(70); Ігор(56); Крупин(31)
2026-07-17,пт,170,28,6930,4,0.02,79,27,0,11,7,27,18,5,12,7053,20,Капитан джек воробей 🔴⚪(43); Крупин(24); Дмитрий(18); Kabir_Labib_LTG(17); Ded Jawerssa(11)
2026-07-18,сб,64,17,2660,8,0.12,38,12,1,4,2,15,14,2,5,2718,5,Капитан джек воробей 🔴⚪(11); Ded Jawerssa(10); Дмитрий(9); Ігор(6); .(6)
2026-07-19,вс,1633,99,45773,332,0.2,906,110,2,51,38,145,155,25,97,47103,58,Ася(182); Капитан джек воробей 🔴⚪(171); Ded Jawerssa(168); Ігор(160); Дмитрий(95)
2026-07-20,пн,2477,51,81614,1470,0.59,1300,90,1,40,26,116,148,71,149,83803,37,Ася(663); Ded Jawerssa(461); Капитан джек воробей 🔴⚪(404); Ігор(147); 𝐌𝐫.𝐏𝐞𝐩𝐞(110)
2026-07-21,вт,1052,18,34319,367,0.35,507,109,3,79,13,66,90,16,41,35280,6,Ася(427); Капитан джек воробей 🔴⚪(243); Крупин(206); Ded Jawerssa(39); Gojō Satoru(21)
2026-07-22,ср,719,27,20394,407,0.57,394,40,1,7,21,59,72,24,47,21036,11,Ася(179); Ігор(107); Капитан джек воробей 🔴⚪(100); Крупин(95); Kabir_Labib_LTG(84)
2026-07-23,чт,1753,34,41055,560,0.32,1032,110,7,24,50,159,122,21,111,42569,21,Ася(328); Капитан джек воробей 🔴⚪(207); Ded Jawerssa(195); Ігор(169); Крупин(164)
2026-07-24,пт,751,31,22679,184,0.25,387,64,7,12,34,74,62,19,34,23344,8,Ded Jawerssa(152); Капитан джек воробей 🔴⚪(144); Крупин(86); Ася(83); Танечка🦢(61)
2026-07-25,сб,1024,27,29366,179,0.17,581,57,5,19,22,67,81,19,61,30292,3,Ася(211); Капитан джек воробей 🔴⚪(186); Ігор(98); Крупин(91); Gojō Satoru(73)
2026-07-26,вс,1191,30,35886,122,0.1,637,106,7,45,39,136,97,26,61,36966,10,Капитан джек воробей 🔴⚪(261); Иван(232); Ася(167); 𝖆𝖇𝖔𝖛𝖊(138); Крупин(86)
2026-07-27,пн,1649,28,39298,659,0.4,842,95,15,30,36,122,76,28,127,40773,4,Ася(584); Ігор(214); Капитан джек воробей 🔴⚪(187); 𝖆𝖇𝖔𝖛𝖊(164); Kabir_Labib_LTG(144)
2026-07-28,вт,2403,32,64546,582,0.24,1190,194,19,71,50,173,85,33,151,66671,9,Капитан джек воробей 🔴⚪(477); Ася(454); Ded Jawerssa(360); Крупин(306); 𝖆𝖇𝖔𝖛𝖊(271)
2026-07-29,ср,889,34,23072,253,0.28,433,59,7,23,20,63,64,11,57,23890,3,Ася(209); Капитан джек воробей 🔴⚪(157); Ігор(106); Крупин(80); Ded Jawerssa(62)
2026-07-30,чт,1613,34,45506,269,0.17,979,144,19,63,31,204,95,33,116,46969,6,Ася(398); Капитан джек воробей 🔴⚪(241); Ins1der Developer(124); Крупин(115); Алекс(97)
2026-07-31,пт,1531,41,34674,15,0.01,833,97,15,30,20,120,84,16,56,36056,23,Капитан джек воробей 🔴⚪(358); Ася(319); Крупин(223); OweniXX(151); Ins1der Developer(143)
2026-08-01,сб,1717,39,55613,1090,0.63,1050,133,17,31,32,102,96,30,103,57147,12,Капитан джек воробей 🔴⚪(432); Ася(305); Ігор(121); Gojō Satoru(109); Крупин(104)
